truth_1,truth_2,truth_3,truth_4,truth_5,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5
0.0,0.13333333333333333,0.6666666666666666,0.16666666666666666,0.03333333333333333,0.05787745098039214,0.16576727357609705,0.31575396825396845,0.3569740896358546,0.10362721755368812
0.0,0.0,0.029411764705882353,0.5,0.47058823529411764,0.003134920634920635,0.015971055088702144,0.10332259570494848,0.5256353874883286,0.3519360410830999
0.0,0.44,0.56,0.0,0.0,0.06897899159663866,0.2819740896358546,0.4347885154061626,0.16820891690009346,0.04604948646125115
0.0,0.08823529411764706,0.058823529411764705,0.38235294117647056,0.47058823529411764,0.010444677871148462,0.047383986928104554,0.21123179271708664,0.5346190476190475,0.1963204948646125
0.0,0.0,0.26666666666666666,0.6333333333333333,0.1,0.04012955182072829,0.12042553688141917,0.3980821661998133,0.2996921101774044,0.14167063492063497
0.0,0.0,0.5666666666666667,0.4,0.03333333333333333,0.051943277310924366,0.19992810457516327,0.3629145658263305,0.3175562558356677,0.06765779645191411
0.0,0.0,0.0,0.4117647058823529,0.5882352941176471,0.006092436974789916,0.03167296918767507,0.1216678338001866,0.4718524743230624,0.3687142857142859
0.44,0.52,0.0,0.04,0.0,0.3781623093681917,0.38041845627139753,0.16453462496109578,0.0567681294740118,0.02011647992530344
0.0,0.058823529411764705,0.4117647058823529,0.47058823529411764,0.058823529411764705,0.07611227824463111,0.21319817927170856,0.3361447245564894,0.26840616246498605,0.1061386554621848
0.0,0.0,0.10714285714285714,0.35714285714285715,0.5357142857142857,0.05946335200746964,0.1566052754435107,0.18502077497665725,0.2948130252100839,0.3040975723622783
0.0,0.0,0.17857142857142858,0.6428571428571429,0.17857142857142858,0.009000000000000001,0.0825730042016807,0.24328098739495785,0.5410447595704951,0.12410124883286638
0.0,0.03333333333333333,0.2,0.5666666666666667,0.2,0.05069327731092436,0.1268473389355742,0.3749479458450047,0.3638032212885153,0.0837082166199813
0.0,0.0,0.10714285714285714,0.39285714285714285,0.5,0.010802987861811391,0.04033683473389353,0.11400746965452849,0.4770873015873018,0.3577654061624648
0.029411764705882353,0.5294117647058824,0.4411764705882353,0.0,0.0,0.05999603174603175,0.16677684407096177,0.34388849984438213,0.3279423436041084,0.10139628073451602
0.03571428571428571,0.39285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.03212348272642391,0.15823622782446323,0.33212605042016813,0.4285100373482723,0.04900420168067227
0.0,0.03571428571428571,0.5,0.39285714285714285,0.07142857142857142,0.07953104575163396,0.19211041083099908,0.3612556022408965,0.2906844070961719,0.07641853408029878
0.0,0.08,0.2,0.52,0.2,0.0031617647058823526,0.03414729225023342,0.10480859010270775,0.3450898692810459,0.5127924836601305
0.0,0.0,0.2,0.44,0.36,0.02642366946778711,0.16988445378151248,0.3674409430438843,0.3553949579831934,0.08085597572362271
0.0,0.14705882352941177,0.6764705882352942,0.17647058823529413,0.0,0.01569981325863679,0.10000443510737625,0.2334626517273576,0.40599906629318405,0.2448340336134453
0.0,0.0,0.04,0.48,0.48,0.0015,0.037784780578898225,0.12251633986928089,0.43883380018674123,0.39936507936507926
0.0,0.029411764705882353,0.029411764705882353,0.6176470588235294,0.3235294117647059,0.008337535014005602,0.05007166199813256,0.22060130718954232,0.4492482492997203,0.27174124649859926
0.03571428571428571,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.03571428571428571,0.015136554621848741,0.04292600373482725,0.1216195144724556,0.4062463818860874,0.41407154528478035
0.0,0.14285714285714285,0.35714285714285715,0.4642857142857143,0.03571428571428571,0.020122549019607843,0.17353501400560215,0.3141533613445378,0.3506391223155932,0.14154995331465922
0.04,0.52,0.44,0.0,0.0,0.10907773109243696,0.4673104575163401,0.32406629318394053,0.07427731092436975,0.025268207282913173
