truth_1,truth_2,truth_3,truth_4,truth_5,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5
0.0,0.13333333333333333,0.6666666666666666,0.16666666666666666,0.03333333333333333,0.009495564892623718,0.0676638460939931,0.27119551431683814,0.4391353583099903,0.21250971638655464
0.0,0.0,0.029411764705882353,0.5,0.47058823529411764,0.000665266106442577,0.0069250700280112055,0.10619852941176479,0.4728990429505134,0.41331209150326764
0.0,0.44,0.56,0.0,0.0,0.02776569794584501,0.25909996498599447,0.48441170634920655,0.1875545051353874,0.04116812558356673
0.0,0.08823529411764706,0.058823529411764705,0.38235294117647056,0.47058823529411764,0.00888713818860878,0.08100805322128855,0.2538654295051358,0.5049816760037341,0.15125770308123251
0.0,0.0,0.26666666666666666,0.6333333333333333,0.1,0.005598739495798321,0.07236251167133516,0.3417696078431375,0.4009288048552752,0.17934033613445388
0.0,0.0,0.5666666666666667,0.4,0.03333333333333333,0.0052666900093370685,0.11151540616246496,0.3772305088702149,0.40538538748832814,0.1006020074696546
0.0,0.0,0.0,0.4117647058823529,0.5882352941176471,0.0004901960784313725,0.006842203548085901,0.1015853174603175,0.47610901027077485,0.4149732726423896
0.44,0.52,0.0,0.04,0.0,0.5157966853408031,0.39536451525054533,0.07838268362900716,0.0007093837535014007,0.009746732026143774
0.0,0.058823529411764705,0.4117647058823529,0.47058823529411764,0.058823529411764705,0.017050887021475263,0.13541573295985046,0.36499661531279187,0.3766091853408033,0.10592757936507945
0.0,0.0,0.10714285714285714,0.35714285714285715,0.5357142857142857,0.00043650793650793645,0.021133986928104562,0.12508885776532827,0.42912402738873345,0.424216619981326
0.0,0.0,0.17857142857142858,0.6428571428571429,0.17857142857142858,0.00636764705882353,0.055555672268907584,0.23723607220666035,0.5556723078120137,0.14516830065359504
0.0,0.03333333333333333,0.2,0.5666666666666667,0.2,0.006722805788982261,0.0497011360099595,0.25692514783691245,0.4830713118580766,0.20357959850606913
0.0,0.0,0.10714285714285714,0.39285714285714285,0.5,0.00012254901960784314,0.020396533613445365,0.13695990896358542,0.5053191526610641,0.33720185574229705
0.029411764705882353,0.5294117647058824,0.4411764705882353,0.0,0.0,0.0878172268907563,0.32292948568316204,0.40020916977902277,0.1668569677871147,0.02218714985994397
0.03571428571428571,0.39285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.016986928104575156,0.19842705415499556,0.4093174603174604,0.31468662464985964,0.06058193277310922
0.0,0.03571428571428571,0.5,0.39285714285714285,0.07142857142857142,0.022911414565826325,0.16751050420168065,0.4003600606909429,0.3192371615312793,0.08998085901027074
